time		value
1.010800e+03		8.000000e-03
1.020851e+03		5.120000e-04
1.031651e+03		8.000000e-03
1.041702e+03		5.120000e-04
1.052502e+03		8.000000e-03
1.062554e+03		5.120000e-04
1.073354e+03		8.000000e-03
1.083405e+03		5.120000e-04
1.094205e+03		8.000000e-03
1.104256e+03		5.120000e-04
1.115056e+03		8.000000e-03
1.125107e+03		5.120000e-04
1.135907e+03		8.000000e-03
1.145958e+03		5.120000e-04
1.156758e+03		8.000000e-03
1.166810e+03		5.120000e-04
1.177610e+03		8.000000e-03
1.187661e+03		5.120000e-04
1.198461e+03		8.000000e-03
1.208512e+03		5.120000e-04
1.219312e+03		8.000000e-03
1.229363e+03		5.120000e-04
1.240163e+03		8.000000e-03
1.250963e+03		8.000000e-03
1.251763e+03		8.000000e-03
1.252563e+03		8.000000e-03
1.253363e+03		8.000000e-03
1.254163e+03		8.000000e-03
1.254963e+03		8.000000e-03
1.255763e+03		8.000000e-03
1.256563e+03		8.000000e-03
1.257363e+03		8.000000e-03
1.258163e+03		8.000000e-03
1.258963e+03		8.000000e-03
1.259763e+03		8.000000e-03
1.260563e+03		8.000000e-03
1.261363e+03		8.000000e-03
1.262163e+03		8.000000e-03
1.262963e+03		8.000000e-03
1.263763e+03		8.000000e-03
1.264563e+03		8.000000e-03
1.265363e+03		8.000000e-03
1.275414e+03		5.120000e-04
1.285466e+03		5.120000e-04
1.285517e+03		5.120000e-04
1.285568e+03		5.120000e-04
1.285619e+03		5.120000e-04
1.285670e+03		5.120000e-04
1.285722e+03		5.120000e-04
1.285773e+03		5.120000e-04
1.285824e+03		5.120000e-04
1.285875e+03		5.120000e-04
1.285926e+03		5.120000e-04
1.285978e+03		5.120000e-04
1.286029e+03		5.120000e-04
1.286080e+03		5.120000e-04
1.286131e+03		5.120000e-04
1.286182e+03		5.120000e-04
1.286234e+03		5.120000e-04
1.286285e+03		5.120000e-04
1.286336e+03		5.120000e-04
1.286387e+03		5.120000e-04
1.297187e+03		8.000000e-03
1.307987e+03		8.000000e-03
1.308787e+03		8.000000e-03
1.309587e+03		8.000000e-03
1.310387e+03		8.000000e-03
1.311187e+03		8.000000e-03
1.311987e+03		8.000000e-03
1.312787e+03		8.000000e-03
1.313587e+03		8.000000e-03
1.314387e+03		8.000000e-03
1.315187e+03		8.000000e-03
1.315987e+03		8.000000e-03
1.316787e+03		8.000000e-03
1.317587e+03		8.000000e-03
1.318387e+03		8.000000e-03
1.319187e+03		8.000000e-03
1.319987e+03		8.000000e-03
1.320787e+03		8.000000e-03
1.321587e+03		8.000000e-03
1.322387e+03		8.000000e-03
1.332438e+03		5.120000e-04
1.342490e+03		5.120000e-04
1.342541e+03		5.120000e-04
1.342592e+03		5.120000e-04
1.342643e+03		5.120000e-04
1.342694e+03		5.120000e-04
1.342746e+03		5.120000e-04
1.342797e+03		5.120000e-04
1.342848e+03		5.120000e-04
1.342899e+03		5.120000e-04
1.342950e+03		5.120000e-04
1.343002e+03		5.120000e-04
1.343053e+03		5.120000e-04
1.343104e+03		5.120000e-04
1.343155e+03		5.120000e-04
1.343206e+03		5.120000e-04
1.343258e+03		5.120000e-04
1.343309e+03		5.120000e-04
1.343360e+03		5.120000e-04
1.343411e+03		5.120000e-04
1.354211e+03		8.000000e-03
1.365011e+03		8.000000e-03
1.365811e+03		8.000000e-03
1.366611e+03		8.000000e-03
1.367411e+03		8.000000e-03
1.368211e+03		8.000000e-03
1.369011e+03		8.000000e-03
1.369811e+03		8.000000e-03
1.370611e+03		8.000000e-03
1.371411e+03		8.000000e-03
1.372211e+03		8.000000e-03
1.373011e+03		8.000000e-03
1.373811e+03		8.000000e-03
1.374611e+03		8.000000e-03
1.375411e+03		8.000000e-03
1.376211e+03		8.000000e-03
1.377011e+03		8.000000e-03
1.377811e+03		8.000000e-03
1.378611e+03		8.000000e-03
1.379411e+03		8.000000e-03
1.389462e+03		5.120000e-04
1.399514e+03		5.120000e-04
1.399565e+03		5.120000e-04
1.399616e+03		5.120000e-04
1.399667e+03		5.120000e-04
1.399718e+03		5.120000e-04
1.399770e+03		5.120000e-04
1.399821e+03		5.120000e-04
1.399872e+03		5.120000e-04
1.399923e+03		5.120000e-04
1.399974e+03		5.120000e-04
1.400026e+03		5.120000e-04
1.400077e+03		5.120000e-04
1.400128e+03		5.120000e-04
1.400179e+03		5.120000e-04
1.400230e+03		5.120000e-04
1.400282e+03		5.120000e-04
1.400333e+03		5.120000e-04
1.400384e+03		5.120000e-04
1.400435e+03		5.120000e-04
1.411235e+03		8.000000e-03
1.422035e+03		8.000000e-03
1.422835e+03		8.000000e-03
1.423635e+03		8.000000e-03
1.424435e+03		8.000000e-03
1.425235e+03		8.000000e-03
1.426035e+03		8.000000e-03
1.426835e+03		8.000000e-03
1.427635e+03		8.000000e-03
1.428435e+03		8.000000e-03
1.429235e+03		8.000000e-03
1.430035e+03		8.000000e-03
1.430835e+03		8.000000e-03
1.431635e+03		8.000000e-03
1.432435e+03		8.000000e-03
1.433235e+03		8.000000e-03
1.434035e+03		8.000000e-03
1.434835e+03		8.000000e-03
1.435635e+03		8.000000e-03
1.436435e+03		8.000000e-03
1.446486e+03		5.120000e-04
1.456538e+03		5.120000e-04
1.456589e+03		5.120000e-04
1.456640e+03		5.120000e-04
1.456691e+03		5.120000e-04
1.456742e+03		5.120000e-04
1.456794e+03		5.120000e-04
1.456845e+03		5.120000e-04
1.456896e+03		5.120000e-04
1.456947e+03		5.120000e-04
1.456998e+03		5.120000e-04
1.457050e+03		5.120000e-04
1.457101e+03		5.120000e-04
1.457152e+03		5.120000e-04
1.457203e+03		5.120000e-04
1.457254e+03		5.120000e-04
1.457306e+03		5.120000e-04
1.457357e+03		5.120000e-04
1.457408e+03		5.120000e-04
1.457459e+03		5.120000e-04
1.468259e+03		8.000000e-03
1.479059e+03		8.000000e-03
1.479859e+03		8.000000e-03
1.480659e+03		8.000000e-03
1.481459e+03		8.000000e-03
1.482259e+03		8.000000e-03
1.483059e+03		8.000000e-03
1.483859e+03		8.000000e-03
1.484659e+03		8.000000e-03
1.485459e+03		8.000000e-03
1.486259e+03		8.000000e-03
1.487059e+03		8.000000e-03
1.487859e+03		8.000000e-03
1.488659e+03		8.000000e-03
1.489459e+03		8.000000e-03
1.490259e+03		8.000000e-03
1.491059e+03		8.000000e-03
1.491859e+03		8.000000e-03
1.492659e+03		8.000000e-03
1.493459e+03		8.000000e-03
1.494259e+03		8.000000e-03
1.495059e+03		8.000000e-03
1.495859e+03		8.000000e-03
1.496659e+03		8.000000e-03
1.497459e+03		8.000000e-03
1.498259e+03		8.000000e-03
1.499059e+03		8.000000e-03
1.509110e+03		5.120000e-04
1.519162e+03		5.120000e-04
1.519213e+03		5.120000e-04
1.519264e+03		5.120000e-04
1.519315e+03		5.120000e-04
1.519366e+03		5.120000e-04
1.519418e+03		5.120000e-04
1.519469e+03		5.120000e-04
1.519520e+03		5.120000e-04
1.519571e+03		5.120000e-04
1.519622e+03		5.120000e-04
1.519674e+03		5.120000e-04
1.519725e+03		5.120000e-04
1.519776e+03		5.120000e-04
1.519827e+03		5.120000e-04
1.519878e+03		5.120000e-04
1.519930e+03		5.120000e-04
1.519981e+03		5.120000e-04
1.520032e+03		5.120000e-04
1.520083e+03		5.120000e-04
1.520134e+03		5.120000e-04
1.520186e+03		5.120000e-04
1.520237e+03		5.120000e-04
1.520288e+03		5.120000e-04
1.520339e+03		5.120000e-04
1.520390e+03		5.120000e-04
1.520442e+03		5.120000e-04
1.531242e+03		8.000000e-03
1.542042e+03		8.000000e-03
1.542842e+03		8.000000e-03
1.543642e+03		8.000000e-03
1.544442e+03		8.000000e-03
1.545242e+03		8.000000e-03
1.546042e+03		8.000000e-03
1.546842e+03		8.000000e-03
1.547642e+03		8.000000e-03
1.548442e+03		8.000000e-03
1.549242e+03		8.000000e-03
1.550042e+03		8.000000e-03
1.550842e+03		8.000000e-03
1.551642e+03		8.000000e-03
1.552442e+03		8.000000e-03
1.553242e+03		8.000000e-03
1.554042e+03		8.000000e-03
1.554842e+03		8.000000e-03
1.555642e+03		8.000000e-03
1.556442e+03		8.000000e-03
1.557242e+03		8.000000e-03
1.558042e+03		8.000000e-03
1.558842e+03		8.000000e-03
1.559642e+03		8.000000e-03
1.560442e+03		8.000000e-03
1.561242e+03		8.000000e-03
1.562042e+03		8.000000e-03
1.572093e+03		5.120000e-04
1.582144e+03		5.120000e-04
1.582195e+03		5.120000e-04
1.582246e+03		5.120000e-04
1.582298e+03		5.120000e-04
1.582349e+03		5.120000e-04
1.582400e+03		5.120000e-04
